Data,Candidato,Rede,Seguidores,Posts,CrescimentoDiario
2026-07-30,Augusto Cury,Facebook,4015070,0,0
2026-07-31,Augusto Cury,Facebook,4015131,2,61
2026-08-03,Augusto Cury,Facebook,4015339,2,208
2026-08-04,Augusto Cury,Facebook,4015527,1,188
2026-08-05,Augusto Cury,Facebook,4015970,3,443
2026-08-06,Augusto Cury,Facebook,4016385,2,415
2026-08-07,Augusto Cury,Facebook,4016679,0,294
2026-07-30,Augusto Cury,Instagram,8299887,0,0
2026-07-31,Augusto Cury,Instagram,8299969,0,82
2026-08-03,Augusto Cury,Instagram,8301262,0,1293
2026-08-04,Augusto Cury,Instagram,8301301,0,39
2026-08-05,Augusto Cury,Instagram,8302836,3,1535
2026-08-06,Augusto Cury,Instagram,8303712,2,876
2026-08-07,Augusto Cury,Instagram,8304441,0,729
2026-07-30,Augusto Cury,TikTok,377878,0,0
2026-07-31,Augusto Cury,TikTok,377994,0,116
2026-08-03,Augusto Cury,TikTok,378780,0,786
2026-08-04,Augusto Cury,TikTok,379021,0,241
2026-08-05,Augusto Cury,TikTok,379363,0,342
2026-08-06,Augusto Cury,TikTok,379667,0,304
2026-08-07,Augusto Cury,TikTok,380070,0,403
2026-07-30,Augusto Cury,X,212486,0,0
2026-07-31,Augusto Cury,X,212474,0,-12
2026-08-03,Augusto Cury,X,212455,0,-19
2026-08-04,Augusto Cury,X,212447,0,-8
2026-08-05,Augusto Cury,X,212449,1,2
2026-08-06,Augusto Cury,X,212437,0,-12
2026-08-07,Augusto Cury,X,212430,0,-7
2026-07-30,Cabo Daciolo,Facebook,1162635,0,0
2026-07-31,Cabo Daciolo,Facebook,1162587,0,-48
2026-08-03,Cabo Daciolo,Facebook,1163281,0,694
2026-08-04,Cabo Daciolo,Facebook,1163257,0,-24
2026-08-05,Cabo Daciolo,Facebook,1163270,1,13
2026-08-06,Cabo Daciolo,Facebook,1163335,1,65
2026-08-07,Cabo Daciolo,Facebook,1163371,1,36
2026-07-30,Cabo Daciolo,Instagram,704825,0,0
2026-07-31,Cabo Daciolo,Instagram,705221,0,396
2026-08-03,Cabo Daciolo,Instagram,719423,0,14202
2026-08-04,Cabo Daciolo,Instagram,722540,0,3117
2026-08-05,Cabo Daciolo,Instagram,724854,1,2314
